Player,Nation,Pos,Squad,Comp,Age,GA,GA90,SoTA,Saves,Stp,Stp%,CS,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Recov,Opp,AvgDist,#OPA
Zion Suzuki,jp JPN,GK,Parma,it Serie A,21.0,53.0,1.47,150.0,99.0,64.0,10.4,7.0,5.0,0.0,0.0,51.4,0.32,0.4,0.01,1272.0,184.0,41.4,37.5,44,614.0,12.1,38.0
Mile Svilar,rs SRB,GK,Roma,it Serie A,24.0,35.0,0.92,151.0,117.0,30.0,6.1,16.0,4.0,0.0,0.0,42.5,0.26,8.5,0.22,1258.0,170.0,23.8,30.6,53,495.0,13.7,33.0
Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34.0,12.0,0.8,33.0,21.0,7.0,5.4,8.0,1.0,0.0,0.0,12.0,0.35,0.0,0.0,398.0,61.0,12.3,25.1,52,130.0,20.2,56.0
Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,23.0,1.0,1.0,4.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,1.5,0.37,0.5,0.46,30.0,4.0,13.3,25.4,2,5.0,15.6,1.0
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32.0,9.0,1.2,22.0,13.0,5.0,6.0,1.0,1.0,0.0,0.0,6.4,0.26,-2.6,-0.34,224.0,40.0,12.1,26.5,14,83.0,17.0,13.0
Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34.0,3.0,1.0,13.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,3.1,0.24,0.1,0.03,78.0,14.0,28.2,28.8,4,20.0,17.0,3.0
Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34.0,34.0,1.33,117.0,82.0,24.0,6.1,6.0,0.0,2.0,0.0,34.9,0.3,1.9,0.08,813.0,123.0,31.7,29.9,52,394.0,13.6,28.0
Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25.0,5.0,1.0,25.0,20.0,1.0,1.6,1.0,0.0,0.0,0.0,9.5,0.38,4.5,0.89,103.0,29.0,41.7,36.3,3,63.0,12.9,5.0
Stefano Turati,it ITA,GK,Monza,it Serie A,22.0,52.0,1.75,145.0,93.0,22.0,5.3,2.0,2.0,2.0,0.0,47.4,0.31,-2.6,-0.09,942.0,126.0,38.3,33.7,32,414.0,13.3,26.0
Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,20.0,12.0,1.5,28.0,16.0,5.0,6.2,2.0,0.0,0.0,0.0,10.3,0.38,-1.7,-0.21,263.0,33.0,26.2,30.9,25,81.0,17.4,21.0
Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,22.0,9.0,1.89,21.0,12.0,7.0,9.0,0.0,0.0,0.0,0.0,7.3,0.36,-1.7,-0.35,139.0,27.0,23.0,29.4,13,78.0,16.1,11.0
Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28.0,39.0,1.18,135.0,93.0,24.0,5.8,9.0,1.0,4.0,0.0,47.4,0.32,9.4,0.29,1267.0,107.0,34.2,32.7,54,411.0,12.8,27.0
Devis Vásquez,co COL,GK,Empoli,it Serie A,26.0,45.0,1.41,125.0,79.0,36.0,7.3,6.0,1.0,1.0,1.0,40.2,0.31,-4.8,-0.15,953.0,104.0,48.5,39.0,43,490.0,10.9,15.0
Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21.0,58.0,1.61,143.0,87.0,27.0,6.5,7.0,9.0,0.0,0.0,51.0,0.31,-5.0,-0.14,1226.0,122.0,26.9,29.7,59,414.0,13.9,47.0
Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27.0,37.0,1.54,102.0,67.0,30.0,9.6,4.0,1.0,0.0,0.0,37.4,0.36,2.4,0.1,809.0,120.0,10.5,22.8,32,312.0,13.3,31.0
Fran Vieites,es ESP,GK,Betis,es La Liga,25.0,5.0,1.25,11.0,6.0,6.0,9.2,0.0,0.0,0.0,0.0,4.7,0.42,-0.3,-0.09,90.0,16.0,40.0,38.0,7,65.0,12.8,4.0
Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27.0,9.0,2.25,18.0,10.0,1.0,1.5,0.0,0.0,1.0,0.0,8.2,0.4,1.2,0.3,82.0,15.0,14.6,24.0,10,65.0,14.8,5.0
Krapyvtsov Vladyslav,ua UKR,GK,Girona,es La Liga,19.0,7.0,3.5,18.0,11.0,1.0,3.7,0.0,1.0,0.0,0.0,6.3,0.31,-0.7,-0.37,63.0,13.0,31.7,35.6,3,27.0,12.9,1.0
Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,28.0,19.0,2.71,39.0,20.0,12.0,10.8,1.0,2.0,0.0,0.0,17.1,0.4,-1.9,-0.28,204.0,35.0,42.6,34.3,6,111.0,8.2,2.0
Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31.0,6.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.28,-3.2,-2.11,46.0,9.0,37.0,32.0,1,11.0,20.7,2.0
Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,25.0,61.0,2.44,140.0,81.0,27.0,5.5,2.0,4.0,0.0,0.0,47.2,0.32,-11.8,-0.47,789.0,116.0,40.2,34.5,43,491.0,11.1,18.0
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29.0,41.0,1.28,142.0,100.0,45.0,8.6,9.0,4.0,1.0,0.0,45.0,0.29,4.0,0.12,977.0,132.0,46.2,38.7,56,524.0,14.0,58.0
Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29.0,57.0,1.68,156.0,102.0,35.0,7.5,10.0,3.0,0.0,0.0,52.9,0.33,-1.1,-0.03,1204.0,188.0,27.7,31.9,42,464.0,13.5,34.0
Melvin Zinga,fr FRA,GK,Angers,fr Ligue 1,22.0,2.0,2.0,4.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,2.4,0.41,0.4,0.4,22.0,4.0,40.9,39.0,0,20.0,16.8,2.0
