Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G-PK,PK,PKatt,xG,npxG,xAG,G-xG,np:G-xG,Sh,SoT,Sh/90,SoT/90,FK,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,TB,Sw,Crs,In,Out,Str,PrgC,PrgP,PrgR,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Int,Blocks_stats_defense,Clr,Err,Touches,Def Pen,Att Pen,Succ,Tkld,Carries,CPA,Mis,Dis,Rec,Won,Fls,PKwon,PKcon,Recov
Amar Dedić,ba BIH,DF,Marseille,fr Ligue 1,21.0,0,1,0,0,0,0.9,0.9,0.9,-0.9,-0.9,6,2,1.72,0.57,0,189,224,84.4,2657,515,0.8,0.1,4,5,2,0,199,1,1,5,0,0,0,21,16,46,4.01,11,0,2,1,0,0,0.29,5,4,2,2,1,7,3,0,12,1,282,6,17,9,10,180,5,8,8,194,7,7,0,0,18
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28.0,2,1,2,0,0,1.7,1.7,0.6,0.3,0.3,18,5,1.13,0.31,0,384,523,73.4,6550,1881,0.7,0.4,6,45,8,1,508,2,7,14,0,0,0,11,40,36,1.63,19,1,0,3,2,1,0.19,31,20,11,17,3,22,13,26,38,0,686,49,20,3,1,332,1,15,11,398,37,32,0,0,68
Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28.0,6,4,3,3,4,4.7,1.5,3.4,1.3,1.5,17,8,1.22,0.57,0,480,688,69.8,8019,2803,4.1,0.6,37,44,26,11,592,3,7,103,17,19,0,29,61,106,4.79,33,24,2,3,4,1,0.64,31,22,9,13,9,13,6,16,5,0,840,6,41,19,25,438,7,36,17,565,8,11,0,0,73
Enrico Del Prato,it ITA,DF,Parma,it Serie A,24.0,4,0,4,0,0,2.0,2.0,1.2,2.0,2.0,12,5,0.37,0.15,0,1288,1534,84.0,23028,8120,0.9,-1.2,14,68,9,2,1319,0,3,16,0,0,0,8,81,31,0.98,28,2,0,0,1,1,0.03,33,17,24,8,1,7,19,69,132,2,1830,228,32,2,1,1006,3,12,3,1078,38,20,0,0,120
Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,32.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,4,0.0,0,0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,1,0,1,0,8,1,0,0,0,2,0,0,0,2,0,1,0,0,0
Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21.0,12,2,10,2,2,9.3,7.8,1.9,2.7,2.2,66,29,2.29,1.01,0,219,357,61.3,3011,657,1.4,0.1,21,17,6,0,350,8,1,5,0,0,0,61,30,110,2.15,28,0,12,7,13,2,0.24,11,8,3,3,5,13,2,8,28,0,682,29,92,40,37,445,30,104,60,537,55,72,2,0,68
Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23.0,3,1,3,0,0,1.1,1.1,0.8,1.9,1.9,16,5,1.52,0.48,0,315,359,87.7,4445,711,0.8,0.2,10,23,4,1,354,0,0,7,0,0,0,23,26,57,2.28,17,0,5,2,0,0,0.09,10,6,3,3,4,4,4,10,5,0,436,12,29,14,6,257,11,16,17,335,3,8,0,0,48
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32.0,0,0,0,0,0,1.3,1.3,0.9,-1.3,-1.3,17,6,2.52,0.89,0,54,110,49.1,650,179,0.5,-0.9,7,5,2,2,104,0,0,11,0,0,0,4,6,20,2.09,9,0,1,1,1,0,0.17,4,3,1,2,1,1,0,3,3,0,171,4,24,3,2,90,2,16,8,130,27,11,0,0,9
Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24.0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0,38,58,65.5,706,297,0.1,-0.1,1,3,1,0,45,0,0,6,3,0,0,2,4,1,1.34,0,1,0,0,0,0,0.0,6,3,2,4,0,5,3,3,4,0,75,3,2,0,1,31,0,0,0,31,4,1,0,0,5
Ali Dembélé,fr FRA,DF,Torino,it Serie A,20.0,1,0,1,0,0,0.4,0.4,0.1,0.6,0.6,5,2,1.16,0.46,0,127,168,75.6,2055,697,0.1,-0.1,3,2,1,1,137,0,0,7,0,0,0,8,12,8,1.62,5,0,2,0,0,0,0.0,9,5,6,3,0,0,1,6,11,1,222,13,11,2,3,101,3,9,5,115,5,9,0,1,15
Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27.0,21,6,20,1,1,16.6,15.8,8.2,4.4,4.2,96,49,4.99,2.55,0,844,1068,79.0,13453,3685,7.2,-2.2,63,93,55,3,986,13,10,80,14,16,0,127,137,252,5.72,75,16,9,6,3,1,0.78,11,5,0,7,4,8,9,3,2,1,1323,2,161,42,51,878,66,41,32,1127,4,8,1,0,39
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26.0,15,1,15,0,2,14.1,12.4,1.9,0.9,2.6,64,27,3.11,1.31,0,258,367,70.3,2971,645,1.7,-0.9,18,15,10,0,349,3,0,3,0,0,0,20,31,115,2.28,35,0,2,7,3,0,0.34,12,7,3,4,5,9,3,14,12,0,582,10,126,5,19,305,9,39,27,437,34,24,0,0,33
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22.0,0,0,0,0,0,2.0,2.0,0.8,-2.0,-2.0,20,6,0.7,0.21,0,1092,1278,85.4,19151,6135,0.5,-0.8,6,64,3,1,1177,0,2,7,0,0,0,12,79,28,0.77,19,0,0,2,1,0,0.07,39,24,25,10,4,10,21,52,134,3,1605,282,48,4,3,737,1,15,7,917,94,23,1,0,97
Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20.0,1,1,1,0,0,0.8,0.8,0.6,0.2,0.2,10,6,1.78,1.07,1,148,205,72.2,2433,730,0.4,0.4,7,22,4,1,184,1,1,17,4,4,0,5,21,13,2.66,12,2,0,1,0,0,0.18,17,12,7,9,1,11,0,6,11,0,279,8,8,2,2,134,1,17,3,167,2,8,0,0,27
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25.0,0,1,0,0,0,0.2,0.2,1.1,-0.2,-0.2,1,0,0.34,0.0,0,127,152,83.6,1898,319,0.2,-0.1,3,12,3,0,147,0,1,2,0,0,1,5,14,11,1.7,5,0,0,0,0,0,0.34,8,5,1,1,6,2,2,2,9,1,184,5,6,2,2,95,0,1,3,138,0,4,0,0,9
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30.0,3,2,3,0,0,2.8,2.8,3.9,0.2,0.2,21,6,0.57,0.16,0,1870,2236,83.6,29372,9836,3.9,-1.9,37,170,54,8,1865,2,7,63,0,0,0,50,224,163,2.16,72,4,0,2,1,1,0.22,66,44,35,25,6,23,31,19,85,1,2541,116,67,4,19,1202,6,28,14,1701,45,46,0,0,94
Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27.0,9,3,9,0,0,7.1,7.1,4.2,1.9,1.9,39,19,1.61,0.79,0,494,591,83.6,7767,1110,1.5,-1.2,26,37,7,0,578,7,5,2,0,0,0,23,51,114,2.27,40,0,4,8,2,1,0.33,22,10,5,12,5,9,6,12,16,1,802,19,94,17,22,452,9,33,34,618,21,23,1,0,55
Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27.0,2,0,2,0,0,1.5,1.5,0.0,0.5,0.5,11,4,1.52,0.55,0,282,336,83.9,4919,1857,0.1,0.0,1,7,2,0,320,0,3,1,0,0,0,5,14,2,0.55,2,0,0,2,0,0,0.14,8,3,8,0,0,2,11,8,56,0,440,65,19,2,2,222,0,5,2,270,18,2,0,0,23
Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18.0,2,1,2,0,0,1.0,1.0,1.1,1.0,1.0,18,8,1.89,0.84,2,198,257,77.0,3478,420,0.6,-0.1,13,5,6,3,247,1,3,33,0,0,0,61,17,77,3.88,20,1,4,5,6,1,0.21,12,8,4,3,5,9,4,5,5,0,379,8,46,25,31,288,32,29,13,299,1,5,1,0,38
Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23.0,4,1,4,0,0,2.3,2.3,0.2,1.7,1.7,16,7,0.52,0.23,0,2086,2239,93.2,38535,12423,0.8,0.8,3,141,0,0,2155,2,5,4,0,0,0,15,90,3,0.62,17,0,0,1,1,0,0.1,31,18,17,11,3,8,27,30,99,5,2475,199,21,9,0,1606,0,13,6,1891,61,44,0,1,139
Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20.0,4,1,4,0,1,5.5,4.7,1.1,-1.5,-0.7,26,9,1.44,0.5,0,291,354,82.2,4122,691,1.2,-0.1,11,22,12,2,317,1,2,7,0,0,0,24,44,93,2.16,29,0,2,5,3,0,0.22,20,13,7,8,5,10,3,13,9,0,580,13,57,20,35,319,4,64,38,397,25,27,0,0,59
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22.0,8,6,8,0,0,4.7,4.7,4.9,3.3,3.3,47,17,2.23,0.8,0,795,949,83.8,11030,2193,4.2,1.1,49,27,35,7,859,3,1,42,23,1,1,109,60,200,4.59,65,9,10,3,6,4,0.85,38,31,9,20,9,13,11,15,19,1,1207,16,131,41,43,782,66,42,35,854,10,21,2,0,109
Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18.0,8,1,8,0,0,4.0,4.0,0.4,4.0,4.0,28,13,2.01,0.93,0,241,304,79.3,3311,698,0.6,0.6,8,13,13,0,295,0,0,12,0,0,0,50,36,116,2.23,21,0,4,3,3,0,0.29,25,14,9,10,6,16,3,8,19,0,523,16,58,19,35,376,27,50,38,396,16,20,0,0,41
Assane Diao,sn SEN,FW,Betis,es La Liga,18.0,1,2,1,0,0,0.8,0.8,1.5,0.2,0.2,7,1,2.27,0.32,0,49,66,74.2,626,139,0.6,0.5,8,2,1,1,61,0,0,4,0,0,0,9,1,27,2.28,6,0,0,1,0,0,0.65,5,3,1,3,1,5,0,3,3,0,122,4,19,2,9,63,3,15,2,81,8,4,0,0,12
